year,gender,team,opponent,playerNum,playerName,setsPlayed,atkPts,atkErrors,atkTotal,atkPtsPer,assists,servePts,serveErrors,recErrors,digs,blkPts,blkAst,blkErrors,BHE,totalPts,isMale
2009,Female,Western,Guelph,12,Elaine Screaton,5,14,4,49,0.204,0,2,1,1,25,1,0,1,0,17,0
2009,Female,Western,Guelph,15,Caleigh Whitaker,5,13,6,53,0.132,1,1,3,1,16,2,1,3,0,16,0
2009,Female,Western,Guelph,4,Claire Morrow,5,0,0,2,0.0,1,0,0,0,32,0,0,0,0,0,0
2009,Female,Western,Guelph,9,Rebbeca Oxland,2,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0
2009,Female,Waterloo,McMaster,2,J. Meltzer,3,2,0,6,0.333,0,0,1,1,8,0,0,0,0,2,0
2009,Female,Waterloo,McMaster,3,A. Li,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
2009,Female,Waterloo,McMaster,4,S. Ebreo,2,0,0,1,0.0,9,0,0,0,3,0,0,0,0,0,0
2009,Female,Waterloo,McMaster,6,M. Mckenzie,4,10,3,29,0.241,1,0,2,0,4,1,4,0,0,11,0
2009,Female,Waterloo,McMaster,7,L. Ledas,4,7,1,13,0.462,1,0,2,0,2,2,5,0,0,9,0
2009,Female,Waterloo,McMaster,9,L. Klein,4,6,9,30,-0.1,0,1,5,1,16,0,2,0,1,7,0
2009,Female,Waterloo,McMaster,10,K. Spack,4,0,0,0,0.0,0,0,0,3,20,0,0,0,0,0,0
2009,Female,Waterloo,McMaster,11,K. Flanagan,4,12,3,48,0.188,0,0,0,0,7,0,1,0,0,12,0
2009,Female,Waterloo,McMaster,13,B. Josipovic,4,13,6,43,0.163,0,0,1,1,14,1,4,0,0,14,0
2009,Female,Waterloo,McMaster,14,K. Ng,4,0,0,1,0.0,34,0,2,0,13,0,2,0,2,0,0
2009,Female,McMaster,Waterloo,1,Sarah Kiernan,4,14,4,30,0.333,0,1,2,0,2,0,6,0,0,15,0
2009,Female,McMaster,Waterloo,2,Lauren Skelly,3,1,5,23,-0.174,0,0,0,0,7,1,1,0,0,2,0
2009,Female,McMaster,Waterloo,3,Laura Cobb,1,1,0,1,1.0,2,0,0,0,3,0,0,0,0,1,0
2009,Female,McMaster,Waterloo,4,Meagan Nederveen,4,0,0,0,0.0,0,0,0,0,21,0,0,0,0,0,0
2009,Female,McMaster,Waterloo,5,Margot Randall,1,2,1,3,0.333,0,0,0,0,0,1,0,0,0,3,0
2009,Female,McMaster,Waterloo,6,Genevieve Dumas,1,0,0,1,0.0,0,0,0,0,1,0,0,0,0,0,0
2009,Female,McMaster,Waterloo,7,Kaila Janssen,4,11,7,38,0.105,2,1,0,0,17,0,3,0,0,12,0
2009,Female,McMaster,Waterloo,8,Shannon McRobert,4,10,3,25,0.28,3,0,2,0,8,0,5,0,0,10,0
2009,Female,McMaster,Waterloo,13,Jennifer Holt,4,1,0,6,0.167,44,2,1,0,11,0,4,0,0,3,0
2009,Female,McMaster,Waterloo,14,Larissa Puhach,4,13,3,35,0.286,0,2,1,0,18,0,3,0,0,15,0
2009,Female,York,Lakehead,1,Kristina Vlcek,4,22,2,49,0.408,0,2,1,0,13,2,0,0,0,26,0
2009,Female,York,Lakehead,3,Dimitra Stathakos,4,3,0,11,0.273,0,0,3,0,18,0,1,0,0,3,0
2009,Female,York,Lakehead,4,Stephanie Green,3,2,3,13,-0.077,0,0,0,0,3,0,2,1,0,2,0
2009,Female,York,Lakehead,6,Thin Sriskandarajah,4,6,1,36,0.139,1,1,0,0,27,0,0,0,0,7,0
2009,Female,York,Lakehead,7,Dayna Herold,1,1,1,3,0.0,0,0,0,0,0,0,0,0,0,1,0
2009,Female,York,Lakehead,8,Gina Morphy,4,1,2,8,-0.125,39,0,0,0,10,0,0,0,0,1,0
2009,Female,York,Lakehead,9,Laura Scull,4,1,4,11,-0.273,1,0,1,0,2,0,1,0,0,1,0
2009,Female,York,Lakehead,10,Sarah Sutton,4,9,5,39,0.103,0,4,2,0,19,0,0,0,1,13,0
2009,Female,York,Lakehead,11,Caroline Cooper,1,0,0,3,0.0,0,0,0,0,0,0,0,0,0,0,0
2009,Female,York,Lakehead,12,Chantelle Lheureux,4,0,0,5,0.0,0,0,0,2,28,1,0,0,0,1,0
2009,Female,Lakehead,York,3,Jenna Macdonald,4,1,1,7,0.0,31,0,2,0,15,1,1,0,2,2,0
2009,Female,Lakehead,York,4,Tessa Mendel,2,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
